species_name,Order,Family,genus,generic_epithet_length,specific_epithet,specific_epithet_length,species_name_length,authors,number_of_authors,year_of_publication,Etymologies_group,Etymologies_subgroup,Language,Environment
"Chaetonotus gulosus Rataj Križanová, Vďačný, 2022",Paucitubulatina,Chaetonotidae,Chaetonotus,11,gulosus,7,18,"Rataj Križanová, Vďačný",2,2022,M,M1,Latin,Freshwater
"Chaetonotus avarus Rataj Križanová, Vďačný, 2022",Paucitubulatina,Chaetonotidae,Chaetonotus,11,avarus,6,17,"Rataj Križanová, Vďačný",2,2022,M,M2,Latin,Freshwater
"Chaetonotus arcanus Rataj Križanová, Vďačný, 2022",Paucitubulatina,Chaetonotidae,Chaetonotus,11,arcanus,7,18,"Rataj Križanová, Vďačný",2,2022,M,M3,Latin,Freshwater
"Polymerurus insularis Magpali, Machado, Araújo, Garraffoni, 2021",Paucitubulatina,Chaetonotidae,Polymerurus,11,insularis,9,20,"Magpali, Machado, Araújo, Garraffoni",4,2021,E,E2,Latin,Freshwater
"Ptychostomella sebastiana Araújo, Garraffoni, 2021",Macrodasyida,Thaumastodermatidae,Ptychostomella,14,sebastiana,10,24,"Araújo, Garraffoni",2,2021,G,G2,Latin,Marine
"Lepidodermella weissi Kirk, 2021",Paucitubulatina,Chaetonotidae,Lepidodermella,14,weissi,6,20,Kirk,1,2021,P,P1,Latin,Freshwater
"Lepidochaetus tirjakovae Rataj Križanová, Vďačný, 2021",Paucitubulatina,Chaetonotidae,Lepidochaetus,13,tirjakovae,10,23,"Rataj Križanová, Vďačný",2,2021,P,P1,Latin,Freshwater
"Ornamentula miyazakii Minowa, Garraffoni, 2021",Paucitubulatina,Dasydytidae,Ornamentula,11,miyazakii,9,20,"Minowa, Garraffoni",2,2021,P,P3,Latin,Freshwater
"Neogossea cthulhu Minowa, Garraffoni, 2020",Paucitubulatina,Neogosseidae,Neogossea,9,cthulhu,7,16,"Minowa, Garraffoni",2,2020,C,C,English,Freshwater
"Acanthodasys australis Bosco, Lourenço, Guidi, Balsamo, Hochberg, Garraffoni, 2020",Macrodasyida,Thaumastodermatidae,Acanthodasys,12,australis,9,21,"Bosco, Lourenço, Guidi, Balsamo, Hochberg, Garraffoni",6,2020,G,G1,Latin,Marine
"Chimaeradasys polytubulatus Kieneke, Todaro, 2020",Macrodasyida,Thaumastodermatidae,Chimaeradasys,13,polytubulatus,13,26,"Kieneke, Todaro",2,2020,M,M2,Latin,Marine
"Chimaeradasys oligotubulatus Kieneke, Todaro, 2020",Macrodasyida,Thaumastodermatidae,Chimaeradasys,13,oligotubulatus,14,27,"Kieneke, Todaro",2,2020,M,M2,Latin+Greek,Marine
"Paraturbanella tricaudata Campos, Todaro, Garraffoni, 2020",Macrodasyida,Turbanellidae,Paraturbanella,14,tricaudata,10,24,"Campos, Todaro, Garraffoni",3,2020,M,M2,Latin,Marine
"Chaetonotus invitatus Kolicka, 2019",Paucitubulatina,Chaetonotidae,Chaetonotus,11,invitatus,9,20,Kolicka,1,2019,E,E2,Latin,Freshwater
"Redudasys Braziliensis Garraffoni, Araújo, Lourenço, Guidi, Balsamo, 2019",Macrodasyida,Redudasyidae,Redudasys,9,Braziliensis,12,21,"Garraffoni, Araújo, Lourenço, Guidi, Balsamo",5,2019,G,G2,Latin,Freshwater
"Chaetonotus inaequabilis Kolicka, 2019",Paucitubulatina,Chaetonotidae,Chaetonotus,11,inaequabilis,12,23,Kolicka,1,2019,M,M1,Latin,Freshwater
"Chaetonotus horridus Kolicka, 2019",Paucitubulatina,Chaetonotidae,Chaetonotus,11,horridus,8,19,Kolicka,1,2019,M,M1,Latin,Freshwater
"Chaetonotus semovitus Kolicka, 2019",Paucitubulatina,Chaetonotidae,Chaetonotus,11,semovitus,9,20,Kolicka,1,2019,P,P1,Latin,Freshwater
"Kryptodasys ulfjondeliusi Todaro, Dal Zotto, Kånneby, Hochberg, 2019",Macrodasyida,Macrodasyidae,Kryptodasys,11,ulfjondeliusi,13,24,"Todaro, Dal Zotto, Kånneby, Hochberg",4,2019,P,P1,Latin,Marine
"Kryptodasys carlosrochai Todaro, Dal Zotto, Kånneby, Hochberg, 2019",Macrodasyida,Macrodasyidae,Kryptodasys,11,carlosrochai,12,23,"Todaro, Dal Zotto, Kånneby, Hochberg",4,2019,P,P1,Latin,Marine
"Chaetonotus bombardus Kolicka, Kotwicki, Dabert, 2018",Paucitubulatina,Chaetonotidae,Chaetonotus,11,bombardus,9,20,"Kolicka, Kotwicki, Dabert",3,2018,E,E5,Latin,Freshwater
"Paraturbanella xaymacana Dal Zotto, Leasi, Todaro, 2018",Macrodasyida,Turbanellidae,Paraturbanella,14,xaymacana,9,23,"Dal Zotto, Leasi, Todaro",3,2018,G,G1,Arawakan Latinisation,Marine
"Lepidodermella polaris Kolicka, Kotwicki, Dabert, 2018",Paucitubulatina,Chaetonotidae,Lepidodermella,14,polaris,7,21,"Kolicka, Kotwicki, Dabert",3,2018,G,G1,Latin,Freshwater
"Chaetonotus hornsundi Kolicka, Kotwicki, Dabert, 2018",Paucitubulatina,Chaetonotidae,Chaetonotus,11,hornsundi,9,20,"Kolicka, Kotwicki, Dabert",3,2018,G,G1,Latin,Freshwater
"Chaetonotus borealis Kolicka, Kotwicki, Dabert, 2018",Paucitubulatina,Chaetonotidae,Chaetonotus,11,borealis,8,19,"Kolicka, Kotwicki, Dabert",3,2018,G,G1,Latin,Freshwater
"Turbanella lobata Yamauchi, Kajihara, 2018",Macrodasyida,Turbanellidae,Turbanella,10,lobata,6,16,"Yamauchi, Kajihara",2,2018,M,M2,Latin,Marine
"Turbanella cuspidata Yamauchi, Kajihara, 2018",Macrodasyida,Turbanellidae,Turbanella,10,cuspidata,9,19,"Yamauchi, Kajihara",2,2018,M,M2,Latin,Marine
"Turbanella pilosum Kolicka, Kotwicki, Dabert, 2018",Macrodasyida,Turbanellidae,Turbanella,10,pilosum,7,17,"Kolicka, Kotwicki, Dabert",3,2018,M,M2,Latin,Marine
"Chaetonotus persimilis Kolicka, Kotwicki, Dabert, 2018",Paucitubulatina,Chaetonotidae,Chaetonotus,11,persimilis,10,21,"Kolicka, Kotwicki, Dabert",3,2018,M,M3,Latin,Freshwater
"Cephalodasys mahoae Yamauchi, Kajihara, 2018",Macrodasyida,Cephalodasyidae,Cephalodasys,12,mahoae,6,18,"Yamauchi, Kajihara",2,2018,P,P2,Japanese Latinisation,Marine
"Chaetonotus antrumus Kolicka, 2017",Paucitubulatina,Chaetonotidae,Chaetonotus,11,antrumus,8,19,Kolicka,1,2017,E,E2,Latin,Freshwater
"Chaetonotus svalbardi Kolicka, 2017",Paucitubulatina,Chaetonotidae,Chaetonotus,11,svalbardi,9,20,Kolicka,1,2017,G,G1,Latin,Freshwater
"Chaetonotus gelidus Kolicka, 2017",Paucitubulatina,Chaetonotidae,Chaetonotus,11,gelidus,7,18,Kolicka,1,2017,G,G1,Latin,Freshwater
"Redudasys neotemperatus Kånneby, Kirk, 2017",Macrodasyida,Redudasyidae,Redudasys,9,neotemperatus,13,22,"Kånneby, Kirk",2,2017,G,G1,Latin,Freshwater
"Aspidiophorus gullmarsfjordensis Kånneby, Todaro, 2017",Paucitubulatina,Chaetonotidae,Aspidiophorus,13,gullmarsfjordensis,18,31,"Kånneby, Todaro",2,2017,G,G1,Old Norse Latinisation,Marine
"Paraturbanella africana Todaro, Dal Zotto, Bownes, Perissinotto, 2017",Macrodasyida,Turbanellidae,Paraturbanella,14,africana,8,22,"Todaro, Dal Zotto, Bownes, Perissinotto",4,2017,G,G1,Latin,Marine
